label,-1_Critiques and Opinions on Children’s Media,0_Reader Opinions on Books and Movies,1_Music Album Reviews and Listener Opinions,2_Music Album Reviews and Quality Concerns
1,2,8937,1017,17
2,0,8240,1766,21
